TEMP,PRESSURE,DENSITY,ENTROPY,RHOS/RHO,VISC,ro*S*T,ron/ro,ron/ros,PRESSURE
[K],[Pa],[Kg/m3],[J/Kg-K],[-],[Pa-s],[J/m3],,,[torr]
2.17,4957.8,146.11,1540.5,0.037607,2.4087E-06,488428.92735,0.962393,25.590794267,37.0767822878
2.16,4835.8,146.06,1491.5,0.078408,2.3025E-06,470552.7384,0.921592,11.7538006326,36.1644083641
2.15,4715.5,146.02,1446.8,0.11318,2.2111E-06,454212.7324,0.88682,7.8354833009,35.2647478475
2.14,4596.9,145.98,1405,0.14436,2.1293E-06,438918.066,0.85564,5.9271266279,34.377800738
2.13,4480.2,145.95,1365.2,0.17298,0.000002055,424404.5022,0.82702,4.7810151463,33.5050627306
2.12,4365.3,145.91,1327.2,0.1996,0.000001987,410541.71424,0.8004,4.0100200401,32.6457859779
2.11,4252.1,145.89,1290.8,0.22459,1.9245E-06,397344.25332,0.77541,3.4525579946,31.7992226322
2.1,4140.8,145.86,1255.6,0.24821,1.8668E-06,384597.8136,0.75179,3.0288465412,30.9668683887
2.09,4031.4,145.83,1221.7,0.27065,1.8136E-06,372355.46799,0.72935,2.6948087936,30.1487232472
2.08,3923.7,145.81,1188.9,0.29204,1.7645E-06,360575.29872,0.70796,2.4241884673,29.3432915129
2.07,3818,145.79,1157.1,0.31252,1.7191E-06,349195.77063,0.68748,2.1997952131,28.5528167282
2.06,3714,145.76,1126.2,0.33215,1.6773E-06,338159.11872,0.66785,2.0106879422,27.7750553506
2.05,3612,145.74,1096.2,0.35103,1.6387E-06,327508.3854,0.64897,1.8487593653,27.0122509225
2.04,3511.7,145.72,1067,0.36922,1.6031E-06,317185.8096,0.63078,1.7084123287,26.2621599016
2.03,3413.4,145.71,1038.6,0.38677,1.5704E-06,307208.84418,0.61323,1.5855159397,25.5270258303
2.02,3316.8,145.69,1011,0.40373,1.5403E-06,297531.0318,0.59627,1.4769028806,24.8046051661
2.01,3222.1,145.67,984.02,0.42013,1.5128E-06,288117.808734,0.57987,1.3802156475,24.0963936039
2,3129.3,145.65,957.75,0.43603,1.4876E-06,278992.575,0.56397,1.2934201775,23.4023911439
1.99,3038.2,145.64,932.13,0.45143,1.4645E-06,270153.272268,0.54857,1.2151828633,22.721102091
1.98,2949,145.62,907.12,0.46639,1.4436E-06,261547.732512,0.53361,1.1441283046,22.0540221402
1.97,2861.6,145.61,882.72,0.48091,1.4245E-06,253209.732624,0.51909,1.0793911543,21.400403444
1.96,2776,145.59,858.89,0.49503,1.4073E-06,245089.758396,0.50497,1.0200795911,20.7602460025
1.95,2692.1,145.58,835.61,0.50876,1.3918E-06,237213.80241,0.49124,0.9655633305,20.132801968
1.94,2610.1,145.57,812.88,0.52212,1.3779E-06,229562.026704,0.47788,0.9152685206,19.5195670357
1.93,2529.8,145.55,790.67,0.53513,1.3654E-06,222108.295705,0.46487,0.8687048007,18.9190455105
1.92,2451.2,145.54,768.97,0.54781,1.3543E-06,214878.516096,0.45219,0.8254504299,18.3312373924
1.91,2374.4,145.53,747.76,0.56017,1.3446E-06,207849.089448,0.43983,0.7851723584,17.7568905289
1.9,2299.3,145.52,727.03,0.57222,0.000001336,201015.07064,0.42778,0.7475796023,17.1952570726
1.89,2225.8,145.51,706.77,0.58397,1.3285E-06,194371.574103,0.41603,0.7124167337,16.6455891759
1.88,2154.1,145.49,686.96,0.59544,1.3221E-06,187898.123552,0.40456,0.6794303372,16.1093825338
1.87,2084,145.48,667.6,0.60663,1.3167E-06,181618.97776,0.39337,0.64845128,15.5851414514
1.86,2015.6,145.47,648.67,0.61756,1.3121E-06,175513.366314,0.38244,0.6192758598,15.0736137761
1.85,1948.8,145.46,630.17,0.62824,1.3084E-06,169579.37717,0.37176,0.5917483764,14.5740516605
1.84,1883.6,145.45,612.08,0.63867,1.3055E-06,163809.74624,0.36133,0.5657538322,14.0864551046
1.83,1819.9,145.44,594.4,0.64885,1.3032E-06,158202.65088,0.35115,0.5411882561,13.6100762608
1.82,1757.9,145.43,577.12,0.65881,1.3016E-06,152753.622112,0.34119,0.5178883138,13.1464108241
1.81,1697.4,145.42,560.23,0.66855,1.3005E-06,147458.250346,0.33145,0.4957744372,12.6939630996
1.8,1638.4,145.42,543.72,0.67806,0.0000013,142321.97232,0.32194,0.4747957408,12.2527330873
1.79,1580.9,145.41,527.58,0.68736,0.0000013,137320.579962,0.31264,0.4548417132,11.8227207872
1.78,1524.9,145.4,511.81,0.69646,1.3005E-06,132462.56972,0.30354,0.4358326393,11.4039261993
1.77,1470.4,145.39,496.4,0.70535,1.3013E-06,127743.72492,0.29465,0.4177358758,10.9963493235
1.76,1417.3,145.38,481.35,0.71405,1.3026E-06,123162.44688,0.28595,0.4004621525,10.5992423124
1.75,1365.7,145.37,466.64,0.72256,1.3041E-06,118712.0494,0.27744,0.3839681134,10.2133530135
1.74,1315.4,145.37,452.27,0.73088,0.000001306,114398.892426,0.26912,0.3682136602,9.8371857319
1.73,1266.5,145.36,438.24,0.73902,1.3081E-06,110205.439872,0.26098,0.353143352,9.4714883149
1.72,1219,145.35,424.54,0.74698,1.3105E-06,106135.84908,0.25302,0.3387239284,9.1162607626
1.71,1172.8,145.35,411.17,0.75477,1.3132E-06,102195.686745,0.24523,0.3249069253,8.7707552276
1.7,1127.9,145.34,398.11,0.76238,0.000001316,98364.22258,0.23762,0.3116818385,8.4349717097
1.69,1084.3,145.33,385.37,0.76983,0.000001319,94649.839349,0.23017,0.2989880883,8.1089102091
1.68,1042,145.32,372.93,0.77712,1.3222E-06,91046.235168,0.22288,0.286802553,7.7925707257
1.67,1000.9,145.32,360.8,0.78424,1.3256E-06,87560.53152,0.21576,0.2751198613,7.4852054121
1.66,961.08,145.31,348.96,0.7912,1.3292E-06,84174.246816,0.2088,0.2639029323,7.1874125461
1.65,922.43,145.31,337.42,0.79801,1.3329E-06,80900.32533,0.20199,0.2531171289,6.8983694957
1.64,884.95,145.3,326.16,0.80467,1.3368E-06,77721.31872,0.19533,0.2427454733,6.6180762608
1.63,848.62,145.29,315.19,0.81118,1.3408E-06,74644.146813,0.18882,0.2327720111,6.3463832718
1.62,813.43,145.29,304.49,0.81754,0.000001345,71667.750402,0.18246,0.2231817403,6.0832157442
1.61,779.35,145.28,294.07,0.82375,1.3493E-06,68783.208256,0.17625,0.2139605463,5.8283493235
